Time,Activity,Details
6:30 AM - 6:50 AM,Wake up & Morning Prayer,"Spiritual reflection, gratitude journaling."
6:50 AM - 7:10 AM,Bible Study,Focus on selected scripture and personal insights.
7:10 AM - 7:30 AM,Quick Shower & Skincare,"Refresh and prepare for the day (cleanse, tone, moisturize, sunscreen)."
7:30 AM - 8:30 AM,Breakfast & Relaxation,"High-protein meal and light relaxation (e.g., motivational podcast)."
8:30 AM - 10:00 AM,Career Study Block (1),"AWS or Python: Review, learn new concepts, and practice hands-on."
10:00 AM - 10:45 AM,Chloe Ting Workout,Follow Chloe Ting’s daily challenge workout.
10:45 AM - 11:00 AM,Cool Down & Snack,Light stretches and rehydrate with water or a smoothie.
11:00 AM - 1:30 PM,Projects & Hands-On Practice,"AWS labs, Python mini-projects (e.g., automating a task)."
1:30 PM - 2:00 PM,Lunch,"Balanced meal with protein, veggies, and carbs."
2:00 PM - 3:00 PM,Career Study Block (2),"CCNA basics: Concepts review, tutorial, and hands-on simulations."
3:00 PM - 4:30 PM,Personal Projects,"Portfolio projects (e.g., Python automation or DevOps tasks)."
4:30 PM - 5:00 PM,Break,Walk or relax with calming activities.
5:00 PM - 6:00 PM,Networking/Research,"LinkedIn updates, join communities, and explore industry trends."
6:00 PM - 7:00 PM,Dinner,Nutritious meal and connection with loved ones.
7:00 PM - 8:00 PM,Study Block (Final Review),"Revise AWS, Python, or CCNA concepts from earlier in the day."
8:00 PM - 9:00 PM,Scheduled Activities,"Bible Study (Wed), Bitcoin Class (Tue/Thu), or spiritual journaling/creative hobbies."
9:00 PM - 10:00 PM,Leisure,"Hobbies, light reading, or creative work (e.g., crochet)."
10:00 PM - 10:30 PM,Skincare & Wind Down,"Night cream or treatments, prepare for restful sleep."
10:30 PM - 6:30 AM,Sleep,Aim for 6-8 hours of quality rest.
